p5_1,p5_2
674,67
308,145
1686,67
4662,13
4663,13
1641,430
4666,13
4674,13
4690,145
1199,145
4707,13
3047,430
4724,13
4730,13
4491,20
4736,13
4752,13
2620,20
3295,13
4758,13
4763,145
4768,145
576,67
2708,13
4780,145
4781,13
4782,145
2324,120
4793,13
4797,13
3529,13
4802,13
3095,145
764,67
4824,13
4835,145
4837,13
4850,145
2274,67
1145,120
4862,145
3239,145
4863,13
108,780
4866,13
4876,145
4154,145
4878,145
4880,145
4860,13
3712,13
4888,13
4896,145
4899,145
4783,13
1866,430
4905,20
4908,13
4910,145
3627,145
3229,120
4941,13
2933,145
3867,430
410,120
4953,145
4967,13
4968,13
4970,145
4971,13
4975,13
3502,13
84,4981
4987,145
4992,13
4993,13
4685,430
5002,20
2182,13
5014,145
5015,13
5020,67
1228,430
5033,145
5034,13
5039,13
5046,13
177,430
5056,145
1622,430
5081,145
2199,145
5085,145
2076,145
82,430
5102,145
44,67
5113,430
1223,67
3845,67
2546,13
5147,145
5154,145
1547,145
5159,20
1685,67
5176,20
619,120
4443,13
5186,13
5187,145
4318,13
2823,13
4280,120
5198,13
5201,13
5206,145
4477,430
5212,13
5213,145
5221,145
1691,67
2603,13
5234,145
2272,430
4629,13
4919,13
5253,20
2046,13
4713,145
5257,13
2815,67
5262,13
5264,13
3097,145
3737,13
349,951
3843,13
5017,145
5280,145
5283,13
5285,13
5291,145
3682,13
5300,13
5306,145
3818,145
224,13
5311,145
2597,120
5321,13
1729,430
5328,13
4005,13
5334,430
5336,13
3704,145
2492,430
5344,13
5355,13
5360,145
1161,67
5364,13
5365,145
5369,20
3375,13
2192,67
2154,120
1881,120
1339,120
809,5385
5388,13
5393,13
5398,13
2679,430
5399,145
5400,145
5406,13
2987,145
5416,13
2650,13
5418,145
5421,13
5424,145
3342,13
3528,13
5449,13
5450,145
2943,13
4379,13
5455,13
4820,13
5477,145
1431,145
5479,145
5480,13
656,120
3723,145
5488,145
5493,20
2158,120
4323,20
421,430
5505,13
5506,13
5509,13
2130,67
3367,13
2371,67
2071,13
5519,13
5520,13
5522,13
1708,120
5532,13
5544,13
5550,13
4274,145
23,5569
1420,13
729,430
301,67
5596,13
5597,13
4453,13
5602,13
5605,145
3238,430
2300,67
5623,13
4503,13
5633,145
5641,145
5642,145
5648,13
5649,13
3116,13
2328,13
1861,67
5668,13
5672,13
5679,13
5681,13
2661,430
5692,145
3804,430
5707,145
5708,13
248,120
5720,13
5721,13
5725,5385
3190,13
5738,145
1424,67
5745,13
667,67
3044,13
2975,20
5757,13
679,67
5770,13
5771,145
3118,5385
3624,13
5752,145
1705,67
5789,13
1290,13
3098,145
2427,120
5800,145
1722,67
5814,13
5815,145
5828,13
3997,13
3086,5385
5835,145
5840,145
1451,430
5848,430
5860,13
5861,145
5864,13
4011,120
3014,145
5880,145
1630,67
5884,145
2771,430
5893,145
4486,13
5900,13
5739,13
2814,13
5908,13
5912,13
1220,430
143,67
5917,145
5918,13
4943,20
5117,145
5938,145
2336,120
5940,13
1983,13
3537,13
5952,13
3647,13
4103,13
5919,13
5881,20
5980,145
2704,145
3915,20
52,67
3980,120
5984,145
4135,13
567,120
6000,13
2252,13
6002,145
2365,67
5911,430
6010,13
6011,13
1117,145
2621,430
5658,13
2187,5385
5613,145
3503,145
842,2937
6030,13
6039,13
4728,13
341,430
6043,145
6044,13
1785,120
64,6047
6048,13
6051,145
5107,13
56,67
1352,120
4355,13
6067,13
894,120
4464,145
1257,1321
6073,13
5537,13
3453,13
6083,13
5790,13
6092,13
2372,13
1306,1321
2063,13
2398,145
3168,13
2839,145
6118,145
512,20
6125,741
6126,13
2574,145
6137,13
2502,13
6142,13
2349,67
2961,145
1279,13
6158,20
884,67
6162,13
6163,13
2835,13
4989,145
6177,145
5913,13
