p5_1,p5_2
10493,13
4015,120
11475,145
487,13
11482,145
1871,67
404,11488
7228,13
6128,13
987,13
10976,145
11505,145
6239,20
8534,13
6455,13
1911,13
416,67
2367,13
1909,505
5585,145
5508,430
4201,20
2763,67
5743,13
6,120
9566,13
1062,67
11551,13
1394,13
2017,13
1354,145
596,67
129,67
3577,13
1065,13
6103,13
11574,145
41,11583
11584,145
2740,145
11587,13
2138,13
4284,13
908,145
10923,145
9341,13
5298,13
5903,120
4909,145
9321,13
11607,145
3691,20
8411,13
4954,13
1882,145
593,1321
11618,13
1033,1321
4529,20
9125,145
9154,13
4431,145
4635,145
7210,13
11644,145
8017,145
2127,67
7263,13
49,120
7733,13
3330,13
826,67
7386,13
11667,13
4165,13
10085,13
6154,145
1450,67
633,67
2155,13
10780,145
7821,145
6607,145
1595,13
1754,13
817,13
3487,145
11704,20
676,13
8874,145
11297,145
4810,13
3870,13
10195,13
11716,145
1854,145
11726,145
2433,67
5396,13
9939,13
10896,145
4789,13
792,120
9871,145
8020,145
9054,13
9885,145
9462,145
4313,145
791,13
4198,67
9158,13
10321,145
6065,13
11246,13
1069,145
2928,145
1284,430
6164,20
9842,145
134,120
5535,13
7765,13
6737,145
1714,67
3088,13
923,430
9420,13
1330,13
3121,430
1138,145
11122,13
2851,120
3275,430
1189,13
8610,13
1243,13
8198,145
9029,13
11856,145
11862,145
3081,13
4206,13
9919,20
21,145
8125,145
5803,13
5764,145
7547,145
621,20
4132,145
6470,145
2339,145
975,20
8513,13
3955,13
8616,145
10424,145
11904,145
1136,67
9768,13
9433,13
3485,145
1074,2937
3933,13
282,120
1276,430
10859,145
5242,430
11162,13
7583,13
11939,145
10013,145
11943,13
7919,145
8857,13
637,67
5209,13
3270,3466
3692,20
2648,120
9454,145
11519,145
8006,13
3750,13
7319,13
2660,13
9388,741
3715,20
3370,430
3694,13
1232,13
2116,13
6436,20
3205,145
4278,13
182,11979
7477,13
11984,13
568,13
1868,741
8572,145
3207,120
3739,13
953,13
681,20
2392,67
4304,13
4162,13
2940,13
10217,145
658,13
1382,120
8843,145
3488,13
1179,67
4309,13
7134,145
5236,13
9261,145
9945,145
2905,20
4965,145
12041,13
12046,13
7340,13
6254,20
7231,145
625,13
4624,120
8430,145
12066,13
572,67
8131,145
3156,13
1633,120
12072,145
4136,430
4800,145
6071,13
3245,13
4281,13
8031,145
10900,145
7974,13
2038,430
11018,13
3433,430
11833,13
4398,13
2695,145
10709,145
4124,13
2962,13
541,430
4414,13
11048,145
8081,13
8023,13
11895,13
10160,145
5787,13
393,13
2517,67
900,505
2614,145
3979,430
7034,13
7225,13
5459,13
8776,145
11028,13
9573,13
2626,13
1826,120
261,12145
6009,145
12146,145
4230,13
277,13
6672,13
6520,13
4120,13
86,12161
11207,13
1443,13
2462,13
8314,145
5680,145
1923,13
8581,20
3777,120
7748,145
3002,13
12202,13
6609,13
3859,145
11873,13
8736,145
7941,13
265,145
3066,13
7158,145
8376,145
10366,13
4297,430
1298,13
4828,145
2877,2937
10105,145
574,120
2790,13
1599,120
383,67
287,120
2123,145
1737,145
508,120
4737,13
11692,145
9397,145
10527,145
11445,145
3566,145
194,67
11804,13
9439,145
3511,13
12284,145
7695,13
10011,13
4972,13
4834,145
1061,120
8812,13
1872,67
2649,145
8900,145
995,13
3158,145
11061,13
1805,13
12020,13
10543,13
4500,13
6692,13
9213,13
422,67
68,12346
1077,13
11986,13
3595,145
8951,13
12355,13
12357,145
3914,120
1640,13
10185,13
5530,20
7849,13
2494,13
1299,430
1213,13
5895,13
2585,120
2157,120
8055,13
4441,13
9373,145
4053,13
7810,13
1396,145
11830,13
8342,145
8477,20
3673,20
7973,145
10421,13
10924,13
2764,20
10750,13
2078,120
100,951
8099,20
1016,13
2665,20
7234,430
12413,145
424,120
4877,13
5711,13
1902,13
472,430
420,13
4701,13
7520,145
2874,145
2789,145
4008,20
208,67
2774,145
9542,145
4748,20
1042,13
1173,67
1927,67
6761,145
1833,13
3535,13
6988,145
7726,13
7366,20
577,13
2400,120
4446,145
3575,430
12481,145
911,67
8136,13
7070,13
264,2937
12489,145
1470,13
3666,13
6074,13
1906,13
6978,741
5939,145
2408,145
6001,145
6032,20
3700,20
3654,145
3049,145
969,120
10806,13
7876,13
4285,145
4157,13
2507,120
1540,13
6614,13
8321,145
193,67
7783,13
4563,13
6936,145
5374,13
5775,20
246,67
8305,145
9569,13
5202,430
12560,145
354,1321
6775,13
2516,1321
8766,145
10598,13
2988,20
8682,145
368,120
5151,13
7627,145
9586,430
3721,13
716,120
978,67
781,1321
6475,13
2416,145
11520,145
1843,13
5351,145
9284,13
8955,13
227,12616
7482,145
12620,13
5404,13
3468,13
11793,145
6230,13
5062,13
8063,13
242,120
51,12636
101,120
8481,13
3710,13
10344,145
8480,145
5042,13
5999,145
7337,20
11632,145
12651,145
6157,145
5130,13
12414,145
3634,13
12451,13
731,67
691,67
7829,13
4534,13
12688,13
4026,145
10945,13
6592,145
1414,120
3388,430
8726,145
5971,13
834,145
8656,13
11402,13
11922,13
9743,13
12710,145
6471,145
2934,430
9148,145
7393,20
2276,120
7565,145
2622,20
1084,1321
3090,13
7663,13
3315,145
2289,145
9913,13
231,120
8324,20
2524,430
9078,13
7285,145
7176,13
10901,13
1123,67
3877,145
1292,13
4998,13
4373,145
5926,13
3419,145
12754,13
7314,13
12758,145
4320,20
1346,13
5742,145
748,120
1057,13
5829,145
7901,13
9144,430
821,67
10129,13
1022,120
6691,145
5941,13
750,13
3164,120
5180,20
8310,13
8781,145
4544,13
10548,13
251,67
6901,145
7067,145
6146,13
1535,430
398,2937
7964,145
4827,20
8654,13
7669,13
6068,13
12439,13
6897,13
7764,13
6076,20
1850,120
2101,13
10149,13
9019,13
1152,13
1240,67
1012,13
1661,13
8350,145
11814,13
10818,13
1751,120
10091,145
598,67
6922,13
858,430
471,13
3917,430
8229,145
2303,430
563,67
12133,145
4147,13
1064,145
153,67
1357,120
2785,13
1497,13
3996,120
1556,67
1726,13
12930,13
12931,13
12940,13
3500,145
1315,430
2558,430
2066,430
8622,13
1133,120
8485,13
12960,13
1063,67
7604,145
9370,13
2806,145
4818,13
10265,13
12022,145
5227,13
1393,780
5265,145
6088,145
232,780
417,67
10520,145
6281,13
3344,13
12644,13
2081,145
12993,13
8640,13
1757,145
11005,13
11985,145
5200,13
3241,13
2144,67
4076,13
11041,13
9634,13
1748,13
3958,13
9400,13
196,780
1166,145
8096,145
10301,13
5076,13
723,120
5290,20
9244,13
3532,13
1824,145
5417,13
2556,13
5260,13
1094,430
2728,145
13046,13
3652,13
2230,145
1642,120
12737,13
3109,13
6345,20
2448,120
4669,145
8920,145
7346,13
992,505
3243,145
5565,13
2185,13
1073,120
1546,120
8450,145
6621,13
500,13
1723,67
7908,13
11876,145
7020,13
6494,145
4327,13
4520,13
2379,120
7630,13
2523,13
971,1321
6589,13
6315,13
7239,13
11249,13
496,120
13116,145
2945,13
8127,13
200,13
2683,145
271,13
7302,13
6060,13
473,120
5296,13
9162,13
3796,13
5953,13
4273,430
303,67
6484,13
8771,13
12782,13
2879,13
11236,145
13162,13
12575,13
10737,13
7009,145
1602,120
4771,13
12292,13
321,951
1043,430
1793,5385
1445,430
880,67
5165,13
1819,430
5302,20
13214,145
540,13
5314,145
412,120
6618,145
13226,13
3384,430
6395,20
643,67
8207,145
3255,13
9686,13
12058,13
1592,120
1264,430
1373,120
7824,145
3160,13
5732,13
4383,20
97,2937
11825,13
7902,13
2485,120
6974,13
12835,13
3989,145
13261,145
2358,67
2510,13
1000,120
704,120
2786,430
11,951
897,145
2720,120
4664,145
7937,145
1353,780
9291,5385
3114,20
7801,13
1831,145
4903,13
1716,13
13292,145
1820,20
9242,13
7534,13
10126,145
874,67
811,13
5378,145
1052,120
1025,13
11130,145
3613,2937
71,430
8993,145
5784,13
4581,13
2756,13
2085,430
2796,13
8208,13
4074,13
9902,13
2414,13
6586,13
9060,13
7117,13
10602,13
7999,145
2446,120
3552,13
820,430
1150,430
2850,430
6644,145
7614,145
7398,13
8800,13
6738,145
1614,145
6062,13
7923,13
4175,145
3266,145
259,13
2869,430
1363,430
3286,13
5475,13
4969,145
8515,13
35,13396
5007,13
25,13399
186,120
3841,13
2477,430
6465,13
3906,13
3648,13
426,120
1289,67
797,67
7236,13
12926,13
9167,13
3746,120
7333,20
441,2937
11758,13
4623,430
2554,430
1753,430
7568,13
749,951
13420,145
1083,120
1399,13
3233,13
2694,430
12825,13
5329,13
7947,145
4326,145
3050,430
4251,13
8867,13
13445,145
5807,13
6049,145
516,120
6872,13
963,67
1469,120
5441,13
786,67
5304,430
336,20
13456,145
3333,67
7563,13
1636,13
234,67
5332,13
5494,430
4595,13
5675,13
8760,13
8102,13
3291,13
9834,145
372,120
1377,67
8104,13
12043,145
13497,145
654,2937
8742,20
1548,13
5523,13
3273,13
738,13
1529,13
3757,145
11754,13
11681,145
5120,13
4668,145
4840,13
7284,145
2277,13
2575,13
4334,13
9199,13
3064,13
1291,430
617,67
353,2937
7424,13
5876,430
7373,13
6260,145
6886,13
10837,20
9746,145
467,120
1048,120
3163,13
4882,13
7025,13
9966,13
7944,13
12611,20
2087,145
930,120
10226,13
12225,145
5581,20
359,120
5467,430
1114,120
6887,13
1089,67
8327,13
1151,5385
7350,13
6218,145
483,67
3887,741
2857,13
720,120
357,67
11170,13
12996,145
1305,1321
4694,145
6904,145
12713,145
3404,13
1434,145
6450,20
2965,120
9740,145
4338,20
1387,430
664,120
4719,13
5805,13
7209,145
1050,13
29,120
2677,13
3718,13
3935,145
347,67
11262,13
9681,145
5025,13
9262,13
5469,13
10822,145
10650,145
13694,13
1401,120
1883,67
352,120
4892,13
13052,13
5241,13
539,120
6603,13
1570,67
6090,13
363,67
4844,430
3835,430
10933,13
4151,120
6670,13
217,67
103,120
13668,145
10063,13
7131,13
8008,13
5630,145
8199,20
1576,120
9131,13
6510,13
10221,145
8083,13
4218,13
1454,120
2244,120
11438,13
580,67
13188,13
4149,13
984,145
1372,1321
7920,145
3170,13
3210,430
13768,145
4605,13
4515,13
12743,13
7051,13
1885,13
5689,13
6548,13
8287,13
9803,13
1109,430
11098,145
8051,145
447,67
1917,120
1939,145
9474,20
28,430
2514,120
1128,67
3133,145
240,120
4984,13
13113,13
2659,13
5489,13
8317,13
4236,145
1798,120
4283,67
7640,13
5817,430
3495,430
9057,13
11031,145
2331,120
342,13830
2030,13
192,67
7950,13
2959,13
6913,13
2640,145
4940,13
3379,13
11409,145
1473,67
7698,13
502,67
4451,13
2999,145
3785,20
8,13
6339,13
12464,145
7939,13
2584,67
9722,13
5729,13
12534,145
2865,145
7874,13
9563,13
6208,20
12304,13
11016,145
4599,145
4790,145
11680,145
3934,430
3875,13
6219,430
1495,120
325,67
267,120
2196,13
12287,13
270,120
4916,145
11245,145
6560,13
11404,145
6910,5385
13919,13
12179,145
5749,13
910,67
725,145
7857,145
8366,13
1337,20
4613,13
8539,13
116,67
333,120
7897,13
4887,145
5694,13
678,67
3401,430
2921,13
1870,430
10639,13
2247,13
1580,430
6695,13
1132,67
1986,13
1034,13
510,120
11714,13
4913,13
9671,20
60,13966
2029,120
11751,13
2746,13
13975,13
2550,13
7047,13
9687,145
1994,67
3414,13
222,13990
6280,13
6517,13
5575,20
2705,13
14008,145
11081,13
4434,13
3359,13
5836,13
12589,145
2580,13
5278,20
4422,13
2841,13
7410,145
5762,13
432,67
1100,430
292,67
392,120
456,120
3447,13
1609,13
3122,20
3063,13
1472,67
9074,13
3601,13
6264,20
3244,145
7710,145
6613,145
9742,145
5540,120
1342,67
9850,145
2129,145
9774,13
10875,13
3855,20
4042,145
12474,13
279,120
4071,145
14067,145
1715,145
1643,67
11548,13
1208,13
4300,145
4306,20
11997,145
1644,67
1772,67
11259,13
5507,13
14092,13
11968,145
579,67
7178,13
5959,13
202,14099
993,67
7577,145
11693,13
8880,13
2738,145
369,780
5324,13
11425,145
14138,145
7846,20
9771,13
2419,13
3585,120
9106,145
2264,430
2322,13
5698,13
8334,13
10853,145
6227,145
14149,13
4773,120
2490,67
8109,145
437,67
4455,20
3025,13
4203,67
7979,145
3104,13
13959,13
5792,430
10559,145
3024,5385
9181,13
14207,13
3748,145
7184,13
10072,145
5910,13
6581,20
12882,13
8278,13
10218,13
3026,145
8602,13
9464,145
7693,145
926,145
6567,145
9694,13
7004,13
9917,13
10704,145
2283,145
8727,13
5628,13
91,13
2672,13
6565,13
3607,67
350,430
164,67
5391,145
6185,13
8234,13
183,67
6426,13
6042,13
6539,145
3396,13
11055,145
10336,145
8931,145
3897,13
4483,13
2480,430
4644,13
5382,13
3037,13
10188,13
11725,145
5646,13
2007,1321
957,430
561,13
6746,13
4787,145
6097,13
11240,13
7976,13
520,120
4950,430
5820,13
13312,13
9976,13
8308,13
8457,145
3003,67
5688,145
8842,145
14315,145
4597,13
2297,120
4786,430
1857,20
7859,145
7306,13
2830,13
497,145
8792,145
11878,145
9503,13
7499,13
1101,13
7328,13
6026,145
9238,13
1796,13
13246,145
5570,13
7262,13
3227,67
2955,13
13722,13
555,430
12375,13
2758,145
4082,145
6329,13
6821,13
4958,20
5777,13
5021,13
6924,145
2519,120
6145,13
4298,13
3074,145
1564,13
12733,145
10989,13
10352,145
5123,430
6728,13
2305,13
3893,13
2693,13
13728,13
7470,13
556,120
1461,67
12159,13
2381,741
8769,13
5402,145
6022,13
7212,145
10252,13
14441,145
12596,13
717,67
13588,145
982,67
11770,13
4395,13
14454,13
2579,67
657,67
5838,13
13229,145
1738,67
13792,13
8474,145
8721,145
1206,13
402,67
6501,13
650,13
7559,13
10641,145
13290,145
4428,13
1439,67
5992,145
1201,13
7233,13
5958,145
7165,13
2866,13
726,13
2674,13
7514,13
7971,145
3393,13
3068,145
6562,145
11845,145
1663,67
7827,13
219,67
4848,13
317,67
5823,145
411,951
2901,13
1977,20
9546,430
62,14540
4,120
7771,13
10885,13
4714,2937
7667,13
8620,145
5170,145
6335,13
13397,13
6713,13
5414,13
10873,145
3708,145
9126,13
2545,120
3504,13
2951,145
6364,13
4341,13
1918,20
14113,13
1440,13
4387,145
6740,145
458,67
9572,145
175,2937
7138,13
3936,13
1949,13
5451,13
2396,13
189,2937
13943,145
2441,67
39,14592
1666,20
4807,13
5022,13
9499,145
3699,67
1216,13
4013,13
7296,145
7609,145
3326,430
2586,13
7914,13
3283,120
5761,145
8098,20
8331,13
5754,13
6706,13
543,67
187,780
4301,430
4918,145
2569,13
4185,13
8160,13
559,67
7642,13
5616,145
12707,145
2229,145
8217,13
1006,13
8448,13
14671,145
9007,741
275,120
6292,13
1510,430
13250,145
7990,13
11308,13
6724,13
3394,20
33,14681
9206,13
1230,13
810,67
2280,430
12772,13
8579,145
3140,13
6486,13
887,145
388,430
14712,145
65,67
8894,13
5621,13
1932,13
7120,13
10073,13
11355,145
595,780
2442,145
2202,145
2298,13
1552,120
1154,120
6902,13
395,67
8734,20
4456,20
9426,145
1575,67
9465,145
2888,430
11791,145
11417,13
9950,13
11494,145
9107,145
3363,13
4346,13
7143,13
10231,13
3237,13
9948,13
9817,13
6716,13
4226,145
10966,145
546,430
879,67
1099,13
2074,20
2135,120
711,145
6201,13
8294,13
14637,145
5389,145
1234,13
4190,13
6953,13
3192,145
3766,430
2470,67
1523,20
4183,13
8413,13
11368,13
11159,145
10056,145
3313,13
855,505
276,780
1098,67
3705,145
5995,13
2721,13
5288,13
4575,13
4365,120
13750,13
223,67
12108,13
185,430
747,67
7825,13
6797,13
1499,1321
7102,145
1009,67
1582,67
10376,13
2840,120
2512,13
872,67
10619,13
1334,13
2868,13
4677,430
2220,145
4578,13
2982,13
4391,13
7261,145
10288,13
1813,67
1177,120
9009,13
7593,13
1875,430
14872,13
8722,145
12383,145
2251,145
2636,145
5558,13
9977,13
1635,67
8588,145
1143,67
61,67
9436,145
11057,13
11023,13
5669,145
4921,13
13178,145
6194,13
10912,13
5101,145
14906,13
205,120
5856,13
2171,430
4262,145
9249,13
1378,13
7383,145
9700,13
425,951
7011,13
10101,145
10509,145
6963,13
3069,13
10507,13
13454,145
14183,13
3312,13
11552,145
312,14940
5177,13
7074,145
440,120
11565,145
6398,13
8034,13
8915,13
6735,145
1481,67
304,13
5964,13
3425,13
4646,13
5702,13
775,120
3461,20
8866,145
2103,67
6116,13
6537,145
6453,145
268,780
8715,13
4542,13
796,120
1841,13
12493,13
7935,13
9372,145
5000,13
6477,145
8225,13
2147,13
8129,145
4086,13
9875,145
8445,13
659,430
10764,13
5348,145
4496,13
7419,13
1027,13
5608,13
728,13
4815,13
12943,145
14403,13
3033,13
5495,13
686,120
5846,13
5436,13
6853,13
524,430
2714,13
12153,741
3899,13
3515,120
11806,145
6986,13
5794,13
1174,13
9116,13
1314,20
9714,145
6876,13
8071,13
6823,13
4237,145
784,13
9407,145
397,120
9334,145
1674,430
12198,13
590,780
2119,430
3831,20
362,67
1770,13
5554,13
1134,67
4046,145
13696,2937
10223,13
10157,145
5207,13
106,780
6678,13
7895,145
4680,13
1619,430
9443,13
2680,120
12828,13
253,120
3223,13
4155,120
4588,145
3641,13
8003,13
13170,145
7650,145
1920,13
1285,120
8426,145
2193,145
7320,13
3179,13
2638,5385
10510,20
9142,145
127,67
9378,145
1893,145
4598,430
4583,13
690,67
10018,13
10485,13
3848,13
6772,20
11472,145
15189,13
5487,13
4710,13
3525,13
12411,13
5190,13
4631,13
6131,13
7890,13
3017,13
7508,145
4068,13
5746,13
2880,430
43,15199
3478,20
7659,13
9449,13
5231,13
1210,120
2380,145
3250,430
136,15209
1389,13
4698,145
13425,145
1164,145
1086,67
10444,13
2616,13
5629,13
8385,145
11219,13
2509,430
8337,13
4188,13
12878,13
1616,13
121,430
457,67
443,13
5453,13
9043,145
7699,145
6506,13
1884,145
668,145
8153,13
8969,145
11338,145
2926,145
3251,13
8189,13
1678,67
3040,741
11586,145
7372,145
1181,430
1700,13
660,145
861,120
1272,145
9165,13
9272,13
2770,13
140,120
12920,145
9133,13
10052,13
1659,13
1901,145
703,120
137,67
11886,13
5409,120
2256,13
6119,13
7104,13
7310,20
5195,145
89,145
6391,13
9030,13
644,20
7428,145
3214,20
6862,145
6389,13
773,67
944,67
47,14940
527,951
9240,145
5533,145
1038,13
1681,13
7036,13
724,145
10898,13
10071,13
9856,13
2073,120
5251,13
7080,13
7493,20
4541,13
4865,145
3329,145
1066,430
13486,145
5124,13
10992,13
2673,120
9002,13
2232,13
1046,67
693,951
11594,145
2864,145
12812,13
2917,20
5018,145
6360,13
13581,13
927,741
10354,145
7738,145
588,120
7833,20
7601,13
9720,13
4735,430
2560,13
7452,13
12618,13
8756,430
696,67
8298,145
7651,13
3399,120
8659,145
8912,145
5041,2937
1956,13
7851,13
1620,1321
4377,145
15426,145
5070,13
5282,145
3769,13
3725,145
8068,145
1435,20
156,15438
2181,145
2269,430
6550,145
2918,120
2284,741
3594,145
2112,67
1482,145
1070,120
8381,145
8469,13
548,145
4092,13
10347,145
14474,145
3397,430
3387,145
4004,20
5979,145
5105,145
4080,13
6046,13
13859,13
2919,145
2760,13
9004,13
4548,13
890,13
5843,13
5216,20
36,67
635,505
7958,13
2605,430
3964,13
2415,430
4740,13
8846,13
1828,13
1915,13
4565,13
12548,13
8777,13
7862,145
9522,13
8344,13
6857,13
13495,13
5655,13
615,67
9971,145
3264,13
2260,430
3780,13
2669,13
3332,120
10595,145
3385,145
918,120
2418,145
12655,13
74,14540
3421,5385
7276,145
6410,13
9283,145
757,13
1333,2937
8077,13
12258,13
1810,13
5370,13
2827,13
4606,13
178,13
3440,13
525,67
446,67
529,13
8554,13
1571,5385
221,951
4697,430
13274,13
3056,13
5973,145
8676,13
6123,20
11110,145
1531,67
1137,67
7317,145
1127,67
7757,145
13021,145
4261,145
1120,120
3101,13
5470,5385
15122,145
12984,145
13493,20
3663,145
7639,145
2059,13
2345,13
2471,13
11809,13
13321,13
5276,13
2642,67
10256,13
3901,67
4192,13
710,145
2482,145
1270,67
85,67
4176,145
13409,145
2927,67
1788,13
2464,13
2564,13
2744,13
10095,13
13336,145
4717,430
4527,430
3514,145
8803,13
5481,13
6121,145
195,120
2801,13
6645,13
9339,13
1195,67
6155,13
9673,13
4142,20
4229,145
5425,13
1608,67
3444,20
11531,13
2011,20
620,67
1543,13
150,67
3134,145
10369,13
218,67
9525,145
13557,145
2931,120
6558,13
1079,13
5878,13
14970,13
1660,430
2045,145
10025,13
8673,145
3193,145
10985,13
306,13
14189,145
4546,13
8627,20
13117,145
6806,13
3869,20
7365,145
9809,13
12076,145
96,120
9733,13
8505,145
14816,145
4480,145
1218,67
1309,120
7538,13
4025,145
1197,120
10418,145
2265,13
7866,145
2064,430
4055,13
6623,13
7905,13
695,120
377,120
2001,13
405,120
8851,20
1929,145
5437,13
2308,13
2224,13
4474,13
2803,13
400,67
2862,13
2805,120
10725,13
7952,13
6205,145
1562,67
2451,67
14169,13
1047,120
859,13
2780,13
1411,13
7812,13
1171,13
4723,430
4795,13
9927,13
11717,13
6441,13
8893,145
3531,13
1840,145
9034,13
8326,145
3355,145
315,67
10037,13
7196,13
10781,13
594,120
6058,430
11566,145
2548,20
11274,13
1409,13
913,120
10027,13
1268,145
3556,13
4161,145
6519,13
2766,145
902,67
3581,20
3102,145
2578,120
5561,13
7681,13
823,120
6868,13
5048,13
238,15958
3592,430
799,67
55,15964
6445,13
13387,13
8508,13
4792,430
9430,13
9120,13
7580,13
10605,145
2376,120
10228,20
585,145
3628,145
2985,13
8447,145
5362,145
9289,145
1053,120
6302,13
13109,145
7527,13
8185,13
10382,145
3638,13
386,13
864,13
1913,67
3919,13
12378,13
4704,13
2532,145
13034,20
4716,145
4366,13
1970,13
6052,13
3517,13
5225,13
7126,13
2976,20
1941,120
7722,13
9282,20
9684,145
7742,13
310,120
1430,67
3886,145
1935,13
12715,13
3726,67
3650,145
2610,67
7381,13
11195,13
6070,145
10466,145
8458,13
12221,13
14402,145
3909,120
12577,13
6150,145
915,13
3340,13
3672,120
10742,13
5666,13
7471,145
1107,145
6661,13
2534,67
4315,145
3144,13
12182,145
3676,13
14519,145
470,2937
11736,13
373,120
4208,13
7087,13
9649,145
13464,145
13129,13
8395,145
6003,13
8372,13
9069,13
11323,13
14659,145
3043,145
12803,13
7853,13
665,2937
2595,5385
4935,145
1590,16167
409,120
6802,145
4678,13
3328,67
344,16182
5219,13
1519,67
942,120
3132,430
2093,13
2499,67
11500,145
322,67
1632,120
10015,13
8040,13
3149,13
7954,145
6598,145
327,145
1638,13
8946,20
601,67
450,13
14,16212
10130,13
9467,13
1183,13
12321,13
4775,13
1116,120
5722,13
8188,145
10146,13
6683,13
6241,145
1976,67
1621,120
12885,145
989,120
212,67
229,120
3479,13
1121,20
11630,13
4439,13
11822,145
2285,13
4846,430
5376,430
5946,13
9869,13
1462,120
5922,13
9250,145
6189,13
16251,145
11664,145
3727,120
914,505
10634,13
2878,145
7107,145
9460,13
2511,430
3157,430
3186,145
8301,13
5097,13
4246,13
1093,13
8118,145
2319,430
13356,13
6312,145
6322,13
160,20
5464,145
9358,13
16278,145
3586,13
5143,13
11525,13
14144,145
4986,145
361,16292
1191,120
1019,67
6529,145
7245,145
4195,13
13436,13
4608,145
7802,20
4265,13
956,13
13550,145
5072,13
13784,145
9320,145
13916,145
839,20
2239,13
3322,13
2735,120
250,67
788,430
3201,20
3653,120
683,67
5423,145
4385,13
2178,13
8407,13
8844,145
1258,13
3316,13
1003,67
2743,145
4592,13
4020,20
622,67
6879,13
5037,13
11065,13
12815,13
9032,145
3407,13
1845,145
9331,13
13673,13
10921,13
14436,145
4137,13
973,13
3622,13
5366,13
819,13
2572,13
4401,20
1432,120
11457,13
6859,13
6170,20
5183,13
768,13
7361,145
5841,13
4526,13
1982,145
5040,145
5603,13
924,67
3099,430
3775,13
614,67
2497,120
1456,67
5115,145
34,67
4562,145
8925,145
2282,430
5122,13
10869,145
6458,13
602,145
11234,145
5349,13
1601,20
7325,13
833,67
4829,13
5564,145
423,16459
638,67
2800,145
6732,13
3768,145
3720,145
2591,145
8255,13
11315,13
3599,13
13007,13
6273,145
8473,13
2006,145
8671,13
5379,145
1718,13
6175,145
6491,145
7647,145
1262,145
7624,20
3085,430
7686,20
5593,13
15124,145
1834,430
6191,13
11265,145
1962,13
3597,13
14563,13
2449,13
1581,430
8364,13
262,505
1283,13
3308,13
7431,145
2409,120
2245,13
2552,145
11333,145
1676,120
6980,145
11553,13
3842,430
2151,13
2627,120
1776,13
198,145
7198,13
3408,430
12465,13
15376,145
6870,145
3247,13
8240,145
244,20
7215,145
12243,13
269,67
2601,13
2592,13
960,505
5410,20
8113,145
1196,120
6196,13
5590,13
8936,13
15120,145
3783,430
3400,20
4936,13
11684,13
9991,13
206,16674
12512,13
3759,741
6159,145
4870,13
7272,13
3944,430
8651,13
5079,13
14359,13
289,145
4433,13
10318,13
4187,13
10500,13
9293,145
6095,20
7221,430
14791,145
1348,505
15318,145
2027,13
8779,13
2026,145
12674,13
533,67
3636,13
4349,13
1103,145
3392,145
1204,13
10138,13
4485,145
5319,13
10077,13
9682,13
2,16740
2021,13
9415,145
1759,120
1376,13
2671,430
5447,13
12349,13
6762,13
6554,13
4555,13
3854,13
8383,13
4857,145
9747,145
793,2937
2798,20
869,120
8052,145
1856,145
873,120
6235,13
4721,13
12091,145
11546,13
4946,13
6687,20
8242,13
11380,13
4681,430
554,13
1839,67
2849,13
6962,13
687,120
3850,13
4587,13
3303,13
7318,145
2978,13
8409,145
11164,13
5877,13
3985,5385
320,120
1818,13
12592,13
1735,67
586,120
4959,13
2813,67
9559,13
4687,13
1226,13
12813,13
6896,145
6127,145
6247,13
11379,20
9379,13
5181,67
3950,13
7921,13
2753,67
11673,13
2382,13
9764,145
436,67
10848,13
2903,13
12942,145
1628,20
2637,430
1237,145
9035,145
6637,13
570,13
11541,13
2571,67
94,120
9953,13
6480,13
3016,120
1266,120
11927,13
698,67
3952,13
6944,13
2353,120
13138,13
1358,120
511,120
1966,145
7556,120
263,145
7061,13
2417,2937
3274,13
3405,13
7286,13
10952,13
3863,430
8181,145
4620,13
6167,20
6472,145
2128,145
14424,145
1020,120
4696,145
4979,13
7891,145
8959,13
829,13
1349,13
3993,13
3946,13
3895,13
6515,13
5674,13
5875,13
8574,20
6307,145
1021,120
6855,13
2391,430
2207,13
1516,67
4633,13
5514,145
6132,13
6704,13
1336,120
1990,120
1979,67
4531,13
10443,13
9084,13
7426,13
15,67
1773,120
11812,13
2424,13
8075,13
701,13
1598,67
5951,13
11448,13
4670,13
11033,13
1010,67
5214,13
6574,145
1899,430
6007,13
1248,67
2729,13
7291,13
1953,145
730,120
2105,13
8269,13
4769,13
4875,20
6378,145
6577,13
454,145
3822,13
1176,67
4064,13
11359,145
9531,13
5132,13
7028,145
988,430
7453,13
2150,120
5967,13
10723,13
5160,20
13069,145
5556,13
5664,13
12038,145
2909,67
3377,13
1954,13
11852,13
2893,13
13391,145
1141,13
9081,145
12227,20
7368,20
3010,13
11336,13
9550,145
5810,430
895,20
9006,145
1356,67
10358,13
1876,67
7648,145
5338,13
12980,13
5521,145
295,2937
7289,13
1553,2937
2366,20
2053,67
8094,13
3878,145
8106,145
2237,120
13175,13
7135,13
8183,13
9661,13
9502,13
113,13
7474,145
8923,13
1219,13
2971,67
4051,20
9137,13
1307,1321
2096,67
2897,145
4742,145
11120,13
961,430
11460,13
1720,13
7578,20
9712,13
3960,13
5580,145
2853,120
10948,13
1731,120
1135,67
403,120
3235,13
3325,13
507,67
11786,145
7889,145
3548,13
3173,13
2685,145
1040,120
4060,13
1501,145
13597,13
8882,13
7572,13
90,3466
495,780
12467,145
3883,145
11639,13
6489,13
2772,13
1802,13
375,13
1324,13
6326,13
11169,145
7843,13
4551,430
2124,13
